id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,griffweitetext,Griffweite,verzicht,verzicht-kat,sorgen
266,2023,16,3,Maennlich,4h-5h,5,25,Nein,4,Stimmt,1,Stimmt ganz
267,2023,16,3,Maennlich,2h-3h,3,9,Ja,1,Stimmt eher ,2,Stimmt eher nicht
268,2023,18,4,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
269,2023,16,3,Maennlich,1h-2h,2,4,eher Ja,2,Stimmt,1,Stimmt eher
270,2023,19,4,Weiblich,1h-2h,2,4,Ja,1,Stimmt eher ,2,Stimmt eher nicht
271,2023,16,3,Weiblich,2h-3h,3,9,Nein,4,Stimmt eher ,2,Stimmt eher
272,2023,17,3,Non-Binaer,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher nicht
273,2023,17,3,Weiblich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher
274,2023,16,3,Maennlich,4h-5h,5,25,Nein,4,Stimmt eher nicht,3,Stimmt eher
275,2023,16,3,Maennlich,2h-3h,3,9,Ja,1,Stimmt,1,Stimmt gar nicht
276,2023,14,2,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher nicht
277,2023,15,2,Maennlich,Mehr als 5h,6,36,eher Ja,2,Stimmt,1,Stimmt ganz
278,2023,16,3,Maennlich,3h-4h,4,16,Nein,4,Stimmt eher nicht,3,Stimmt eher nicht
279,2023,19,4,Maennlich,3h-4h,4,16,eher Nein,3,Stimmt eher nicht,3,Stimmt ganz
280,2023,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher
281,2023,16,3,Weiblich,Mehr als 5h,6,36,Nein,4,Stimmt eher nicht,3,Stimmt eher nicht
282,2023,16,3,Weiblich,2h-3h,3,9,eher Nein,3,Stimmt eher ,2,Stimmt eher
283,2023,15,2,Weiblich,Mehr als 5h,6,36,Nein,4,Stimmt eher nicht,3,Stimmt eher nicht
284,2023,17,3,Weiblich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher
285,2023,18,4,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher
286,2024,17,3,Weiblich,2h-3h,3,9,Nein,4,Stimmt eher ,2,Stimmt eher
287,2024,15,2,Maennlich,4h-5h,5,25,eher Ja,2,Stimmt,1,Stimmt eher nicht
288,2024,33,6,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher
289,2024,16,3,Weiblich,4h-5h,5,25,eher Ja,2,Stimmt,1,Stimmt eher
290,2024,14,2,Weiblich,3h-4h,4,16,Nein,4,Stimmt eher ,2,Stimmt eher
291,2024,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher
292,2024,15,2,Weiblich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher nicht
293,2024,15,2,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher
294,2024,15,2,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
295,2024,16,3,Maennlich,3h-4h,4,16,Nein,4,Stimmt eher ,2,Stimmt eher nicht
296,2024,14,2,Non-Binaer,3h-4h,4,16,eher Ja,2,Stimmt eher nicht,3,Stimmt eher nicht
297,2024,15,2,Maennlich,3h-4h,4,16,Nein,4,Stimmt,1,Stimmt eher
298,2024,15,2,Maennlich,1h-2h,2,4,Ja,1,Stimmt,1,Stimmt ganz
299,2024,14,2,Weiblich,1h-2h,2,4,Nein,4,Stimmt,1,Stimmt eher
300,2024,16,3,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher nicht
301,2024,15,2,Weiblich,3h-4h,4,16,Nein,4,Stimmt eher ,2,Stimmt eher
302,2024,17,3,Maennlich,weniger als 1h,1,1,Nein,4,Stimmt,1,Stimmt ganz
303,2024,18,4,Weiblich,2h-3h,3,9,Ja,1,Stimmt eher ,2,Stimmt eher
304,2024,18,4,Weiblich,4h-5h,5,25,Nein,4,Stimmt eher ,2,Stimmt eher nicht
305,2024,17,3,Maennlich,4h-5h,5,25,eher Nein,3,Stimmt,1,Stimmt eher nicht
306,2024,16,3,Weiblich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
307,2024,17,3,Weiblich,3h-4h,4,16,eher Nein,3,Stimmt eher ,2,Stimmt eher nicht
308,2024,16,3,Maennlich,3h-4h,4,16,eher Nein,3,Stimmt,1,Stimmt eher
309,2024,16,3,Maennlich,3h-4h,4,16,Nein,4,Stimmt eher nicht,3,Stimmt eher nicht
310,2024,16,3,Maennlich,2h-3h,3,9,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
311,2024,16,3,Weiblich,3h-4h,4,16,Nein,4,Stimmt,1,Stimmt eher nicht
312,2024,16,3,Weiblich,2h-3h,3,9,Nein,4,Stimmt,1,Stimmt eher nicht
313,2024,16,3,Maennlich,2h-3h,3,9,Nein,4,Stimmt,1,Stimmt eher nicht
314,2024,44,6,Maennlich,2h-3h,3,9,Ja,1,Stimmt,1,Stimmt eher nicht
315,2024,15,2,Weiblich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher
316,2024,15,2,Weiblich,1h-2h,2,4,Nein,4,Stimmt eher ,2,Stimmt ganz
317,2024,16,3,Weiblich,2h-3h,3,9,eher Nein,3,Stimmt eher ,2,Stimmt eher nicht
318,2024,16,3,Maennlich,weniger als 1h,1,1,Nein,4,Stimmt eher ,2,Stimmt eher nicht
319,2024,17,3,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher
320,2024,18,4,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt,1,Stimmt eher
321,2024,16,3,Weiblich,3h-4h,4,16,eher Nein,3,Stimmt nicht,4,Stimmt eher nicht
322,2024,18,4,Maennlich,1h-2h,2,4,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
323,2024,17,3,Weiblich,2h-3h,3,9,Nein,4,Stimmt,1,Stimmt gar nicht
324,2024,17,3,Weiblich,2h-3h,3,9,Ja,1,Stimmt eher nicht,3,Stimmt eher
325,2024,17,3,Maennlich,4h-5h,5,25,eher Nein,3,Stimmt nicht,4,Stimmt eher
326,2024,17,3,Maennlich,weniger als 1h,1,1,Nein,4,Stimmt,1,Stimmt gar nicht
327,2024,17,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher
328,2024,17,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher
329,2024,18,4,Weiblich,2h-3h,3,9,Ja,1,Stimmt nicht,4,Stimmt eher nicht
330,2024,17,3,Maennlich,3h-4h,4,16,Ja,1,Stimmt eher nicht,3,Stimmt eher
331,2024,16,3,Weiblich,Mehr als 5h,6,36,eher Ja,2,Stimmt eher nicht,3,Stimmt eher
332,2024,16,3,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt eher nicht,3,Stimmt eher nicht
333,2024,16,3,Maennlich,2h-3h,3,9,eher Nein,3,Stimmt eher nicht,3,Stimmt ganz
334,2024,16,3,Maennlich,1h-2h,2,4,Nein,4,Stimmt,1,Stimmt gar nicht
335,2024,16,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt nicht,4,Stimmt eher nicht
336,2024,17,3,Weiblich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher
337,2024,16,3,Weiblich,1h-2h,2,4,eher Ja,2,Stimmt,1,Stimmt eher
338,2024,16,3,Maennlich,3h-4h,4,16,Ja,1,Stimmt nicht,4,Stimmt eher
339,2024,17,3,Non-Binaer,3h-4h,4,16,Ja,1,Stimmt eher ,2,Stimmt eher nicht
340,2024,17,3,Maennlich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher nicht
341,2024,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt gar nicht
342,2024,15,2,Weiblich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher
343,2024,15,2,Weiblich,4h-5h,5,25,Ja,1,Stimmt,1,Stimmt gar nicht
344,2024,16,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt eher ,2,Stimmt eher nicht
345,2024,15,2,Weiblich,3h-4h,4,16,Nein,4,Stimmt,1,Stimmt eher
346,2024,16,3,Weiblich,2h-3h,3,9,Ja,1,Stimmt eher nicht,3,Stimmt eher
347,2024,16,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher
348,2024,16,3,Weiblich,1h-2h,2,4,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
349,2024,16,3,Weiblich,4h-5h,5,25,Ja,1,Stimmt eher ,2,Stimmt eher nicht
350,2024,17,3,Weiblich,2h-3h,3,9,Ja,1,Stimmt eher ,2,Stimmt eher nicht
351,2024,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt ganz
352,2024,18,4,Weiblich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher
353,2024,17,3,Maennlich,4h-5h,5,25,Ja,1,Stimmt eher ,2,Stimmt eher nicht
354,2024,17,3,Maennlich,3h-4h,4,16,eher Nein,3,Stimmt eher nicht,3,Stimmt eher
355,2024,16,3,Weiblich,3h-4h,4,16,eher Nein,3,Stimmt eher nicht,3,Stimmt eher
356,2024,17,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher
357,2024,20,5,Maennlich,3h-4h,4,16,eher Nein,3,Stimmt eher ,2,Stimmt eher
358,2024,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
359,2024,15,2,Weiblich,3h-4h,4,16,Ja,1,Stimmt eher nicht,3,Stimmt eher
360,2024,17,3,Maennlich,Mehr als 5h,6,36,eher Ja,2,Stimmt eher ,2,Stimmt eher
361,2024,16,3,Maennlich,4h-5h,5,25,Nein,4,Stimmt,1,Stimmt ganz
362,2024,16,3,Maennlich,weniger als 1h,1,1,Nein,4,Stimmt,1,Stimmt eher
363,2024,17,3,Maennlich,1h-2h,2,4,Ja,1,Stimmt eher ,2,Stimmt eher
364,2024,15,2,Weiblich,2h-3h,3,9,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
365,2024,17,3,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt eher nicht,3,Stimmt eher nicht
366,2024,17,3,Maennlich,3h-4h,4,16,eher Nein,3,Stimmt,1,Stimmt eher nicht
367,2024,16,3,Weiblich,Mehr als 5h,6,36,Ja,1,Stimmt eher ,2,Stimmt eher nicht
368,2024,16,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt eher nicht,3,Stimmt eher nicht
369,2024,16,3,Maennlich,4h-5h,5,25,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
370,2024,16,3,Weiblich,3h-4h,4,16,Ja,1,Stimmt,1,Stimmt eher nicht
371,2024,16,3,Weiblich,3h-4h,4,16,eher Ja,2,Stimmt eher ,2,Stimmt eher nicht
372,2024,16,3,Weiblich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher nicht
373,2024,21,5,Maennlich,Mehr als 5h,6,36,Nein,4,Stimmt eher ,2,Stimmt eher nicht
374,2024,16,3,Maennlich,2h-3h,3,9,eher Ja,2,Stimmt,1,Stimmt eher
375,2024,17,3,Maennlich,Mehr als 5h,6,36,Ja,1,Stimmt,1,Stimmt eher nicht
