id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,sorgen,sorgenkat,smartphone-schlafen,smartphone-schlafen-kat,verzicht,verzicht-kat,geldeinewoche,geldeinewochekat
209,2023,15,2,Weiblich,1h-2h,2,4,Stimmt gar nicht,4,Nein,4,Stimmt,1,Wuerde ich auch gratis machen,0
210,2023,14,2,Weiblich,weniger als 1h,1,1,Stimmt eher nicht,3,Nein,4,Stimmt eher ,2,Wuerde ich auch gratis machen,0
211,2023,15,2,Weiblich,2h-3h,3,9,Stimmt eher,2,eher Ja,2,Stimmt eher ,2,50 CHF,2
212,2023,14,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,20 CHF,1
213,2023,15,2,Maennlich,1h-2h,2,4,Stimmt eher,2,Nein,4,Stimmt eher nicht,3,ueber 100 CHF,3
214,2023,15,2,Maennlich,2h-3h,3,9,Stimmt eher,2,Nein,4,Stimmt,1,50 CHF,2
215,2023,14,2,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
216,2023,14,2,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Nein,4,Stimmt eher ,2,100 CHF,2
217,2023,16,3,Non-Binaer,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,50 CHF,2
218,2023,17,3,Weiblich,1h-2h,2,4,Stimmt eher,2,Ja,1,Stimmt,1,ueber 100 CHF,3
219,2023,17,3,Weiblich,2h-3h,3,9,Stimmt ganz,1,Nein,4,Stimmt eher ,2,ueber 100 CHF,3
220,2023,17,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Ja,1,Stimmt,1,ueber 100 CHF,3
221,2023,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,eher Nein,3,Stimmt nicht,4,100 CHF,2
222,2023,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
223,2023,16,3,Weiblich,4h-5h,5,25,Stimmt eher,2,Ja,1,Stimmt eher ,2,100 CHF,2
224,2023,16,3,Weiblich,3h-4h,4,16,Stimmt gar nicht,4,Nein,4,Stimmt,1,ueber 100 CHF,3
225,2023,16,3,Weiblich,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt,1,Wuerde ich auch gratis machen,0
226,2023,16,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Nein,4,Stimmt,1,Wuerde ich auch gratis machen,0
227,2023,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,eher Ja,2,Stimmt eher nicht,3,100 CHF,2
228,2023,17,3,Moechte nicht antworten,1h-2h,2,4,Stimmt ganz,1,eher Ja,2,Stimmt eher nicht,3,ueber 100 CHF,3
229,2023,17,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
230,2023,16,3,Maennlich,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt eher nicht,3,100 CHF,2
231,2023,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher,2,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
232,2023,17,3,Maennlich,4h-5h,5,25,Stimmt eher,2,eher Nein,3,Stimmt,1,Wuerde ich auch gratis machen,0
233,2023,17,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,20 CHF,1
234,2023,18,4,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,eher Ja,2,Stimmt eher nicht,3,50 CHF,2
235,2023,16,3,Weiblich,4h-5h,5,25,Stimmt eher,2,Ja,1,Stimmt eher ,2,50 CHF,2
236,2023,17,3,Weiblich,4h-5h,5,25,Stimmt eher,2,Ja,1,Stimmt,1,ueber 100 CHF,3
237,2023,17,3,Non-Binaer,Mehr als 5h,6,36,Stimmt eher,2,eher Ja,2,Stimmt eher ,2,ueber 100 CHF,3
238,2023,17,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,50 CHF,2
239,2023,17,3,Weiblich,3h-4h,4,16,Stimmt eher,2,eher Ja,2,Stimmt,1,ueber 100 CHF,3
240,2023,16,3,Weiblich,4h-5h,5,25,Stimmt eher,2,Nein,4,Stimmt,1,100 CHF,2
241,2023,17,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,20 CHF,1
242,2023,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
243,2023,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Nein,4,Stimmt,1,Wuerde ich auch gratis machen,0
244,2023,16,3,Weiblich,4h-5h,5,25,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
245,2023,18,4,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,eher Ja,2,Stimmt eher ,2,100 CHF,2
246,2023,17,3,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt nicht,4,ueber 100 CHF,3
247,2023,16,3,Maennlich,4h-5h,5,25,Stimmt gar nicht,4,eher Ja,2,Stimmt eher nicht,3,50 CHF,2
248,2023,15,2,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,100 CHF,2
249,2023,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Nein,4,Stimmt eher ,2,100 CHF,2
250,2023,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2,Nein,4,Stimmt eher ,2,100 CHF,2
251,2023,17,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,Wuerde ich auch gratis machen,0
252,2023,16,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Ja,1,Stimmt,1,50 CHF,2
253,2023,19,4,Weiblich,2h-3h,3,9,Stimmt ganz,1,eher Ja,2,Stimmt eher ,2,100 CHF,2
254,2023,16,3,Weiblich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt eher nicht,3,ueber 100 CHF,3
255,2023,18,4,Moechte nicht antworten,1h-2h,2,4,Stimmt eher,2,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
256,2023,16,3,Weiblich,3h-4h,4,16,Stimmt eher nicht,3,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
257,2023,20,5,Weiblich,weniger als 1h,1,1,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
258,2023,17,3,Maennlich,3h-4h,4,16,Stimmt eher,2,eher Ja,2,Stimmt,1,100 CHF,2
259,2023,17,3,Non-Binaer,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
260,2023,17,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,ueber 100 CHF,3
261,2023,16,3,Maennlich,1h-2h,2,4,Stimmt eher nicht,3,Nein,4,Stimmt,1,100 CHF,2
262,2023,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,Ja,1,Stimmt,1,100 CHF,2
263,2023,15,2,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
264,2023,16,3,Maennlich,3h-4h,4,16,Stimmt eher,2,eher Ja,2,Stimmt eher ,2,ueber 100 CHF,3
265,2023,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Nein,3,Stimmt eher ,2,100 CHF,2
266,2023,16,3,Maennlich,4h-5h,5,25,Stimmt ganz,1,Nein,4,Stimmt,1,ueber 100 CHF,3
267,2023,16,3,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
268,2023,18,4,Maennlich,Mehr als 5h,6,36,Stimmt eher nicht,3,Ja,1,Stimmt eher nicht,3,ueber 100 CHF,3
269,2023,16,3,Maennlich,1h-2h,2,4,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
270,2023,19,4,Weiblich,1h-2h,2,4,Stimmt eher nicht,3,Ja,1,Stimmt eher ,2,ueber 100 CHF,3
271,2023,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,Nein,4,Stimmt eher ,2,ueber 100 CHF,3
272,2023,17,3,Non-Binaer,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,10 CHF,1
273,2023,17,3,Weiblich,2h-3h,3,9,Stimmt eher,2,eher Ja,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0
274,2023,16,3,Maennlich,4h-5h,5,25,Stimmt eher,2,Nein,4,Stimmt eher nicht,3,ueber 100 CHF,3
275,2023,16,3,Maennlich,2h-3h,3,9,Stimmt gar nicht,4,Ja,1,Stimmt,1,10 CHF,1
276,2023,14,2,Maennlich,2h-3h,3,9,Stimmt eher nicht,3,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
277,2023,15,2,Maennlich,Mehr als 5h,6,36,Stimmt ganz,1,eher Ja,2,Stimmt,1,ueber 100 CHF,3
278,2023,16,3,Maennlich,3h-4h,4,16,Stimmt eher nicht,3,Nein,4,Stimmt eher nicht,3,100 CHF,2
279,2023,19,4,Maennlich,3h-4h,4,16,Stimmt ganz,1,eher Nein,3,Stimmt eher nicht,3,ueber 100 CHF,3
280,2023,16,3,Maennlich,2h-3h,3,9,Stimmt eher,2,eher Ja,2,Stimmt,1,10 CHF,1
281,2023,16,3,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Nein,4,Stimmt eher nicht,3,50 CHF,2
282,2023,16,3,Weiblich,2h-3h,3,9,Stimmt eher,2,eher Nein,3,Stimmt eher ,2,Wuerde ich auch gratis machen,0
283,2023,15,2,Weiblich,Mehr als 5h,6,36,Stimmt eher nicht,3,Nein,4,Stimmt eher nicht,3,100 CHF,2
284,2023,17,3,Weiblich,3h-4h,4,16,Stimmt eher,2,Ja,1,Stimmt,1,100 CHF,2
285,2023,18,4,Weiblich,3h-4h,4,16,Stimmt eher,2,eher Ja,2,Stimmt,1,Wuerde ich auch gratis machen,0
